judgment_id,status,scope,project_id,field,pipeline_verdict,values,covered_pairs,n_rows,hand_verdict,agree,issue_class,note,checked
K161,carried,comp,pygmt,title,conflict,fuzzy=17 | 'PyGMT: A Python interface for the Generic Mapping Tools' vs 'pygmt',cff~pypi;doi_record~pypi,2,conflict,1,,,8/15/26
K160,carried,comp,pygmt,version,minor,v-prefix only,cff~doi_record;doi_record~pypi,2,minor,1,,,8/15/26
K240,carried,intra,pygmt,authors,conflict,|A|=19 |B|=8 matchedA=7 matchedB=7,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K241,carried,intra,pygmt,doi,conflict,10.5281/zenodo.19398871 vs 10.1029/2026gc013105,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K239,carried,intra,pygmt,title,conflict,fuzzy=64 | 'PyGMT: A Python interface for the Generic Mapping Tools' vs 'PyGMT: Bridging Python and the Generic Mapping Tools for Geospatial Visualization and Analysis',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K049,carried,comp,pyquil,authors,conflict,|A|=20 |B|=3 matchedA=3 matchedB=3,doi_record~readme,1,conflict,1,,readme's bibtex points to a arXiv paper,8/14/26
K052,carried,comp,pyquil,authors,conflict,|A|=20 |B|=1 matchedA=0 matchedB=0,doi_record~pypi,1,conflict,1,,"pypi has """"Rigetti Computing"""" as general author",8/14/26
K056,carried,comp,pyquil,authors,conflict,|A|=3 |B|=1 matchedA=0 matchedB=0,readme~pypi,1,conflict,1,,readme's bibtex points to a arXiv paper,8/14/26
K054,carried,comp,pyquil,license,conflict,'Open Access' vs 'Apache-2.0',doi_record~pypi,1,conflict,1,,,8/14/26
K048,carried,comp,pyquil,title,conflict,fuzzy=43 | 'PyQuil: Quantum programming in Python' vs 'A Practical Quantum Instruction Set Architecture',doi_record~readme,1,conflict,1,,readme's bibtex points to a arXiv paper,8/14/26
K051,carried,comp,pyquil,title,conflict,fuzzy=29 | 'PyQuil: Quantum programming in Python' vs 'pyquil',doi_record~pypi,1,conflict,1,,,8/14/26
K055,carried,comp,pyquil,title,conflict,fuzzy=11 | 'A Practical Quantum Instruction Set Architecture' vs 'pyquil',readme~pypi,1,conflict,1,,readme's bibtex points to a arXiv paper,8/14/26
K053,carried,comp,pyquil,version,conflict,'v2.17.0' vs '4.17.0',doi_record~pypi,1,conflict,1,,,8/14/26
K050,carried,comp,pyquil,year,conflict,2020 vs 2016,doi_record~readme,1,conflict,1,,readme's bibtex points to a arXiv paper,8/14/26
K159,carried,comp,pyrolite,license,conflict,'cc-by-4.0' vs 'CSIRO Open Source Software Licence Agreement (Variation of t',doi_record~pypi,1,conflict,1,,,8/15/26
K157,carried,comp,pyrolite,title,conflict,fuzzy=42 | 'morganjwilliams/pyrolite: 0.3.6' vs 'pyrolite',cff~pypi;doi_record~pypi,2,conflict,1,,cff's preferred citaion points to a article,8/15/26
K158,carried,comp,pyrolite,version,conflict,'0.3.6' vs '0.3.7',cff~pypi;doi_record~pypi,2,conflict,1,,cff's preferred citaion points to a article,8/15/26
K236,carried,intra,pyrolite,authors,conflict,|A|=13 |B|=8 matchedA=2 matchedB=2,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K238,carried,intra,pyrolite,doi,conflict,10.5281/zenodo.2545106 vs 10.21105/joss.02314,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K235,carried,intra,pyrolite,title,conflict,fuzzy=45 | 'morganjwilliams/pyrolite: 0.3.6' vs 'pyrolite: Python for geochemistry',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K237,carried,intra,pyrolite,year,conflict,2024 vs 2020,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K106,carried,comp,pyvista,authors,conflict,|A|=2 |B|=2 matchedA=1 matchedB=1,cff~doi_record;doi_record~readme,2,conflict,1,,,8/14/26
K107,carried,comp,pyvista,title,conflict,fuzzy=13 | 'PyVista: 3D plotting and mesh analysis through a streamlined interface for the Visualization Toolkit (VTK)' vs 'pyvista',cff~pypi;doi_record~pypi;readme~pypi,3,conflict,1,,,8/14/26
K098,carried,comp,pyzx,title,conflict,fuzzy=15 | 'PyZX: Large Scale Automated Diagrammatic Reasoning' vs 'pyzx',readme~pypi,1,conflict,1,,,8/14/26
K063,carried,comp,qdk,authors,conflict,|A|=1 |B|=10 matchedA=0 matchedB=0,cff~doi_record,1,conflict,1,,doi points to an ACM paper while cff only list Microsoft as author,8/14/26
K067,carried,comp,qdk,authors,conflict,|A|=10 |B|=1 matchedA=0 matchedB=0,doi_record~readme;doi_record~pypi,2,conflict,1,,doi points to an ACM paper while cff and pypi for software,8/14/26
K062,carried,comp,qdk,title,conflict,fuzzy=6 | 'Microsoft Quantum Development Kit' vs 'Q#',cff~doi_record,1,conflict,1,,doi points to an ACM paper,8/14/26
K065,carried,comp,qdk,title,conflict,fuzzy=11 | 'Microsoft Quantum Development Kit' vs 'qdk',cff~pypi;readme~pypi,2,conflict,1,,doi points to an ACM paper while cff and pypi for software,8/14/26
K066,carried,comp,qdk,title,conflict,fuzzy=6 | 'Q#' vs 'Microsoft Quantum Development Kit',doi_record~readme,1,conflict,1,,doi points to an ACM paper while cff and pypi for software,8/14/26
K068,carried,comp,qdk,title,conflict,fuzzy=50 | 'Q#' vs 'qdk',doi_record~pypi,1,conflict,1,,doi points to an ACM paper while cff and pypi for software,8/14/26
K064,carried,comp,qdk,year,conflict,2024 vs 2018,cff~doi_record,1,conflict,1,,doi points to an ACM paper,8/14/26
K087,carried,comp,qibo,authors,conflict,|A|=29 |B|=1 matchedA=0 matchedB=0,doi_record~pypi,1,conflict,1,,"pypi only use one-line of ""The Qibo team""",8/14/26
K086,carried,comp,qibo,title,conflict,fuzzy=29 | 'qiboteam/qibo: qibo 0.3.4' vs 'qibo',doi_record~pypi,1,conflict,1,,no signifant difference. Pypi include the version number in title,8/14/26
K088,carried,comp,qibo,version,minor,v-prefix only,doi_record~pypi,1,minor,1,,,8/14/26
K036,carried,comp,qiskit,title,conflict,fuzzy=38 | 'Qiskit/qiskit: Qiskit  2.5.1' vs 'qiskit',doi_record~pypi,1,conflict,1,,,8/14/26
K037,carried,comp,qiskit,version,conflict,'2.5.1' vs '2.5.2',doi_record~pypi,1,conflict,1,,,8/14/26
K256,carried,exact,qiskit,license,exact,alias-normalized,doi_record~pypi,1,exact,1,,,8/15/26
K096,carried,comp,qrisp,authors,conflict,|A|=7 |B|=1 matchedA=0 matchedB=0,readme~pypi,1,conflict,1,,readme point to a Arxiv paper as in bibtex,8/14/26
K095,carried,comp,qrisp,title,conflict,fuzzy=11 | 'Qrisp: A Framework for Compilable High-Level Programming of Gate-Based Quantum Computers' vs 'qrisp',readme~pypi,1,conflict,1,,readme point to a Arxiv paper as in bibtex,8/14/26
K078,carried,comp,qsim,version,minor,v-prefix only,cff~doi_record;doi_record~pypi,2,minor,1,,pypi doesn't contains 'v',8/14/26
K217,carried,intra,qsim,authors,conflict,|A|=1 |B|=18 matchedA=0 matchedB=0,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K219,carried,intra,qsim,doi,conflict,10.5281/zenodo.4067237 vs 10.48550/arxiv.2111.02396,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K216,carried,intra,qsim,title,conflict,fuzzy=10 | 'qsim' vs 'Simulations of Quantum Circuits with Approximate Noise using qsim and Cirq',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K218,carried,intra,qsim,year,conflict,2025 vs 2021,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K085,carried,comp,qualtran,license,conflict,'Apache-2.0' vs 'cc-by-4.0',cff~doi_record,1,conflict,1,,doi_record points to arXibv paper while cff has this as preferred ciatation and readme has it in bibtex,8/14/26
K082,carried,comp,qualtran,title,conflict,fuzzy=25 | 'Qualtran' vs 'Expressing and Analyzing Quantum Algorithms with Qualtran',cff~doi_record;cff~readme,2,conflict,1,,doi_record points to arXibv paper while cff has this as preferred ciatation and readme has it in bibtex,8/14/26
K083,carried,comp,qualtran,version,conflict,'0.6.0' vs '1',cff~doi_record,1,conflict,1,,doi_record points to arXibv paper while cff has this as preferred ciatation and readme has it in bibtex,8/14/26
K084,carried,comp,qualtran,year,minor,2025 vs 2024 (staleness?),cff~doi_record;cff~readme,2,minor,1,,doi_record points to arXibv paper while cff has this as preferred ciatation and readme has it in bibtex,8/14/26
K222,carried,intra,qualtran,title,conflict,fuzzy=25 | 'Qualtran' vs 'Expressing and Analyzing Quantum Algorithms with Qualtran',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K041,carried,comp,quantum,year,minor,2020 vs 2021 (staleness?),doi_record~readme,1,minor,1,"","",8/14/26
K255,carried,exact,quantum,authors,exact,n=29,doi_record~readme,1,exact,1,,paper-ref: both surfaces list the article's authors; values identical,8/15/26
K089,carried,comp,recirq,authors,conflict,|A|=1 |B|=2 matchedA=0 matchedB=0,zenodo_json~readme;doi_record~readme,2,exact,0,parse-error,"entity ""Quantum AI team and collaborators"" split at "" and "" on one surface",8/14/26
K274,carried,exact,recirq,license,exact,alias-normalized,zenodo_json~doi_record,1,exact,1,,"same, just case difference",8/15/26
K042,carried,comp,rustworkx,title,conflict,fuzzy=29 | 'rustworkx: A High-Performance Graph Library for Python' vs 'rustworkx',zenodo_json~pypi;doi_record~pypi,2,conflict,1,,,8/14/26
K257,carried,exact,rustworkx,license,exact,alias-normalized,doi_record~pypi,1,exact,1,,,8/15/26
K174,carried,comp,sourmash,authors,conflict,|A|=29 |B|=36 matchedA=29 matchedB=29,cff~zenodo_json;cff~doi_record,2,conflict,1,,cff's preferred citaion points to a article,8/15/26
K176,carried,comp,sourmash,authors,conflict,|A|=29 |B|=1 matchedA=0 matchedB=0,cff~pypi,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K181,carried,comp,sourmash,authors,conflict,|A|=36 |B|=1 matchedA=0 matchedB=0,zenodo_json~pypi;doi_record~pypi,2,conflict,1,,,8/15/26
K175,carried,comp,sourmash,title,conflict,"fuzzy=16 | 'sourmash v4: A multitool to quickly search, compare, and analyze genomic and metagenomic data sets' vs 'sourmash'",cff~pypi;cff~npm;doi_record~pypi;doi_record~npm,4,conflict,1,,cff's preferred citaion points to a article,8/15/26
K177,carried,comp,sourmash,version,conflict,'v1.0.0' vs 'v4.8.9',codemeta~doi_record,1,conflict,1,,,8/15/26
K179,carried,comp,sourmash,version,conflict,'v1.0.0' vs '4.9.4',codemeta~pypi,1,conflict,1,,,8/15/26
K180,carried,comp,sourmash,version,conflict,'v1.0.0' vs '0.23.0',codemeta~npm,1,conflict,1,,,8/15/26
K182,carried,comp,sourmash,version,conflict,'v4.8.9' vs '4.9.4',doi_record~pypi,1,conflict,1,,,8/15/26
K183,carried,comp,sourmash,version,conflict,'v4.8.9' vs '0.23.0',doi_record~npm,1,conflict,1,,,8/15/26
K184,carried,comp,sourmash,version,conflict,'4.9.4' vs '0.23.0',pypi~npm,1,conflict,1,,,8/15/26
K178,carried,comp,sourmash,year,conflict,2016 vs 2024,codemeta~doi_record,1,conflict,1,,,8/15/26
K271,carried,exact,sourmash,doi,exact,(exact: open data/normalized/sourmash.json),cff~doi_record,1,exact,1,,same but cff's preferred citation points to the article,8/15/26
K253,carried,exact,sourmash,license,exact,alias-normalized,codemeta~npm,1,exact,1,,,8/15/26
K246,carried,exact,sourmash,title,exact,(exact: open data/normalized/sourmash.json),pypi~npm,1,exact,1,,same name but different version between pypi and npm,8/15/26
K245,carried,intra,sourmash,doi,conflict,10.5281/zenodo.11557883 vs 10.21105/joss.06830,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K076,carried,comp,stim,license,conflict,'Apache-2.0' vs 'Apache 2',cff~pypi,1,conflict,1,,cff points to paper as preferred citation,8/14/26
K073,carried,comp,stim,title,conflict,fuzzy=18 | 'Stim' vs 'Stim: a fast stabilizer circuit simulator',cff~doi_record;cff~readme,2,conflict,1,,readme and cff points to paper in bibtexand preferred citation,8/14/26
K077,carried,comp,stim,title,conflict,fuzzy=18 | 'Stim: a fast stabilizer circuit simulator' vs 'stim',doi_record~pypi;readme~pypi,2,conflict,1,,readme and cff points to paper in bibtexand preferred citation,8/14/26
K075,carried,comp,stim,version,conflict,'1.14.0' vs '1.16.0',cff~pypi,1,conflict,1,,cff points to paper as preferred citation,8/14/26
K074,carried,comp,stim,year,conflict,2024 vs 2021,cff~doi_record;cff~readme,2,conflict,1,,readme and cff points to paper in bibtexand preferred citation,8/14/26
K266,carried,exact,stim,doi,exact,(exact: open data/normalized/stim.json),doi_record~readme,1,exact,1,,same but both point to article,8/15/26
K214,carried,intra,stim,title,conflict,fuzzy=18 | 'Stim' vs 'Stim: a fast stabilizer circuit simulator',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K215,carried,intra,stim,year,conflict,2024 vs 2021,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K145,carried,comp,sunpy,authors,conflict,|A|=35 |B|=268 matchedA=28 matchedB=28,cff~zenodo_json,1,conflict,1,,zenodo_json has more as creator,8/15/26
K146,carried,comp,sunpy,authors,conflict,|A|=35 |B|=34 matchedA=34 matchedB=34,cff~doi_record,1,conflict,1,,"doi_record has two null creator, but rest are the same",8/15/26
K149,carried,comp,sunpy,authors,conflict,|A|=268 |B|=34 matchedA=28 matchedB=28,zenodo_json~doi_record,1,conflict,1,,zenodo_json has more as creator,8/15/26
K151,carried,comp,sunpy,license,conflict,'BSD-2-Clause' vs 'BSD-3-Clause',zenodo_json~pypi,1,conflict,1,,,8/15/26
K144,carried,comp,sunpy,title,conflict,fuzzy=49 | 'The SunPy Project: Open Source Development and Status of the Version 1.0 Core Package' vs 'sunpy: A Core Package for Solar Physics',cff~zenodo_json,1,conflict,1,,,8/15/26
K147,carried,comp,sunpy,title,conflict,fuzzy=11 | 'The SunPy Project: Open Source Development and Status of the Version 1.0 Core Package' vs 'sunpy',cff~pypi;doi_record~pypi,2,conflict,1,,,8/15/26
K148,carried,comp,sunpy,title,conflict,fuzzy=49 | 'sunpy: A Core Package for Solar Physics' vs 'The SunPy Project: Open Source Development and Status of the Version 1.0 Core Package',zenodo_json~doi_record,1,conflict,1,,,8/15/26
K150,carried,comp,sunpy,title,conflict,fuzzy=23 | 'sunpy: A Core Package for Solar Physics' vs 'sunpy',zenodo_json~pypi,1,conflict,1,,,8/15/26
K016,carried,comp,targets,authors,conflict,|A|=1 |B|=24 matchedA=0 matchedB=0,codemeta~doi_record,1,conflict,1,,,8/14/26
K018,carried,comp,targets,doi,conflict,targets vs 10.5281/zenodo.18555866,codemeta~doi_record,1,conflict,1,,,8/14/26
K019,carried,comp,targets,license,conflict,'MIT' vs 'cc-by-4.0',codemeta~doi_record,1,conflict,1,,,8/14/26
K015,carried,comp,targets,title,conflict,fuzzy=39 | 'targets: Dynamic Function-Oriented 'Make'-Like Declarative Pipelines' vs 'ropensci/targets: tar_igraph()',codemeta~doi_record,1,conflict,1,,,8/14/26
K017,carried,comp,targets,version,conflict,'1.11.1' vs '1.12.0',codemeta~doi_record,1,conflict,1,,,8/14/26
K114,carried,comp,textnets,authors,conflict,|A|=1 |B|=1 matchedA=0 matchedB=0,cff~readme;doi_record~readme,2,conflict,1,,"cff has preferred cation to a Journal, which is also the bibtex in readme",8/14/26
K115,carried,comp,textnets,doi,conflict,10.5281/zenodo.3866676 vs 10.21105/joss.02594,cff~readme;doi_record~readme,2,conflict,1,,"cff has preferred cation to a Journal, which is also the bibtex in readme",8/14/26
K118,carried,comp,textnets,license,conflict,'cc-by-4.0' vs 'GPL-3.0-only',doi_record~pypi,1,conflict,1,,,8/14/26
K117,carried,comp,textnets,version,conflict,'v0.9.5' vs '0.10.4',doi_record~pypi,1,conflict,1,,"cff has preferred cation to a Journal, which is also the bibtex in readme",8/14/26
K116,carried,comp,textnets,year,conflict,2024 vs 2020,doi_record~readme,1,conflict,1,,"cff has preferred cation to a Journal, which is also the bibtex in readme",8/14/26
K230,carried,intra,textnets,doi,conflict,10.5281/zenodo.3866676 vs 10.21105/joss.02594,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K229,carried,intra,textnets,title,conflict,fuzzy=25 | 'textnets' vs 'textnets: A Python Package for Text Analysis with Networks',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K251,carried,exact,thread-pool,doi,exact,(exact: open data/normalized/thread-pool.json),cff~doi_record,1,exact,1,,,8/15/26
K090,carried,comp,toqito,title,conflict,fuzzy=67 | 'toqito -- Theory of quantum information toolkit: A Python package for studying quantum information' vs 'toqito: A Python toolkit for quantum information',doi_record~readme,1,conflict,1,,,8/14/26
K092,carried,comp,toqito,title,conflict,fuzzy=12 | 'toqito -- Theory of quantum information toolkit: A Python package for studying quantum information' vs 'toqito',doi_record~pypi,1,conflict,1,,,8/14/26
K094,carried,comp,toqito,title,conflict,fuzzy=23 | 'toqito: A Python toolkit for quantum information' vs 'toqito',readme~pypi,1,conflict,1,,,8/14/26
K093,carried,comp,toqito,version,conflict,'v1.0' vs '1.3.1',doi_record~pypi,1,conflict,1,,,8/14/26
K091,carried,comp,toqito,year,minor,2020 vs 2021 (staleness?),doi_record~readme,1,minor,1,,,8/14/26
K047,carried,comp,torchquantum,authors,conflict,|A|=8 |B|=1 matchedA=0 matchedB=0,readme~pypi,1,conflict,1,,readme's bibtex points to a paper,8/14/26
K046,carried,comp,torchquantum,title,conflict,fuzzy=28 | 'Quantumnas: Noise-adaptive search for robust quantum circuits' vs 'torchquantum',readme~pypi,1,conflict,1,,readme's bibtex points to a paper,8/14/26
K014,carried,comp,trilinos,authors,minor,name variants; n=33,doi_record~readme,1,minor,1,,"both doi and readme point to the journal instead of the softare itself, as well as cff",8/14/26
K013,carried,comp,trilinos,title,conflict,fuzzy=17 | 'Trilinos' vs 'Trilinos: Enabling Scientific Computing across Diverse Hardware Architectures at Scale',cff~doi_record;cff~readme,2,conflict,1,,"cff 's title and doi belongs to the journal at  'preferred-citatin' section, whie reame bibtex also pint to the journal",8/14/26
K201,carried,intra,trilinos,title,conflict,fuzzy=17 | 'Trilinos' vs 'Trilinos: Enabling Scientific Computing across Diverse Hardware Architectures at Scale',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K163,carried,comp,xclim,authors,conflict,|A|=26 |B|=38 matchedA=26 matchedB=26,cff~zenodo_json,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K164,carried,comp,xclim,authors,conflict,|A|=26 |B|=25 matchedA=25 matchedB=25,cff~doi_record,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K166,carried,comp,xclim,authors,conflict,|A|=38 |B|=25 matchedA=25 matchedB=25,zenodo_json~doi_record,1,conflict,1,,,8/15/26
K165,carried,comp,xclim,title,conflict,fuzzy=22 | 'xclim: xarray-based climate data analytics' vs 'xclim',cff~pypi;zenodo_json~pypi;doi_record~pypi,3,conflict,1,,cff's preferred citaion points to a article,8/15/26
K167,carried,comp,xclim,version,conflict,'v0.43.0' vs '0.61.1',doi_record~pypi,1,conflict,1,,,8/15/26
K249,carried,exact,xclim,license,exact,alias-normalized,doi_record~pypi,1,exact,1,,doi has an extra license,8/15/26
K273,carried,exact,xclim,title,exact,(exact: open data/normalized/xclim.json),cff~zenodo_json,1,exact,1,,same but both point to article,8/15/26
K242,carried,intra,xclim,authors,conflict,|A|=26 |B|=25 matchedA=25 matchedB=25,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K243,carried,intra,xclim,doi,conflict,10.5281/zenodo.7916446 vs 10.21105/joss.05415,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K060,carried,comp,yao-jl,authors,minor,name variants; n=4,cff~doi_record;cff~readme,2,minor,1,,"they have point to paper title, but appears as preferred citation in cff and bibtex for readme, but readme's paper is the Arxv Preprint",8/14/26
K061,carried,comp,yao-jl,year,minor,2020 vs 2019 (staleness?),cff~readme;doi_record~readme,2,minor,1,,"they have point to paper title, but appears as preferred citation in cff and bibtex for readme, but readme's paper is the Arxv Preprint",8/14/26
K247,carried,exact,zfp,doi,exact,(exact: open data/normalized/zfp.json),cff~doi_record,1,exact,1,,same but both point to article,8/15/26
K252,carried,exact,zfp,year,exact,(exact: open data/normalized/zfp.json),cff~doi_record,1,exact,1,,same but both point to article,8/15/26
